"index","category","title","description","local_image","web_image","image_url"
1,"starters","Mac N Cheese Bites","Bite-sized golden treats with a crispy exterior and a creamy, cheesy mac and cheese center.","images/mac-n-cheese-bites-e1746183930370.jpg","images-web/mac-n-cheese-bites-e1746183930370.jpg","https://www.atlwingspot.com/wp-content/uploads/2024/10/Mac-N-Cheese-Bites-e1746183930370.jpg"
2,"starters","Cajun Fried Corn (Fan Favourite)","Our fan favorite Cajun fried corn! Juicy ears of corn on the cob fried till golden and tossed in our famous cajun rub! Served with ranch.","images/cajun-fried-corn.jpg","images-web/cajun-fried-corn.jpg","https://www.atlwingspot.com/wp-content/uploads/2024/10/Cajun-Fried-Corn.jpg"
3,"starters","Crispy Coconut Shrimp","Served with Thai chili sauce.","images/7fa67d84-4eb6-44ee-b868-fd74d7cbf451-retina-large.avif","images-web/7fa67d84-4eb6-44ee-b868-fd74d7cbf451-retina-large.webp","https://www.atlwingspot.com/wp-content/uploads/2024/10/7fa67d84-4eb6-44ee-b868-fd74d7cbf451-retina-large.avif"
4,"starters","Mozzarella Sticks (6)","Includes marinara sauce","images/mozzarella-sticks.jpg","images-web/mozzarella-sticks.jpg","https://www.atlwingspot.com/wp-content/uploads/2024/10/Mozzarella-Sticks.jpg"
5,"quesadillas","Chipotle Chicken Quesadilla","Crispy boneless chicken topped with our housemade chipotle sauce, cheddar cheese, and ranch!","images/chipotle-chicken-quesadilla-scaled.webp","images-web/chipotle-chicken-quesadilla-scaled.webp","https://www.atlwingspot.com/wp-content/uploads/2025/03/Chipotle-Chicken-Quesadilla-scaled.webp"
6,"quesadillas","Cheddar Cheese Quesadilla","Served with sour cream","images/cheddar-cheese-quesadilla.png","images-web/cheddar-cheese-quesadilla.png","https://www.atlwingspot.com/wp-content/uploads/2024/10/Cheddar-Cheese-Quesadilla.png"
7,"quesadillas","Loaded Chicken Quesadilla","Grilled chicken, cheddar cheese, green peppers, & onions. Served with sour scream!","images/loaded-chicken-quesadilla-e1746184121941.png","images-web/loaded-chicken-quesadilla-e1746184121941.png","https://www.atlwingspot.com/wp-content/uploads/2024/10/Loaded-Chicken-Quesadilla-e1746184121941.png"
8,"quesadillas","Crispy Buffalo Chicken Quesadilla","Crispy buffalo chicken and cheddar cheese topped with ranch. Served with ranch on the side.","images/crispy-buffalo-chicken-quesadilla.png","images-web/crispy-buffalo-chicken-quesadilla.png","https://www.atlwingspot.com/wp-content/uploads/2024/10/Crispy-Buffalo-Chicken-Quesadilla.png"
9,"traditional","6pc Bone In Wings Combo Meal","6 of our Classic Bone-in wings! Always fresh never frozen. Choose from over 30 flavors! Served with your choice of side, beverage, and dip!","images/6pc-bone-in-wings-combo-meal.jpg","images-web/6pc-bone-in-wings-combo-meal.jpg","https://www.atlwingspot.com/wp-content/uploads/2025/03/6pc-Bone-In-Wings-Combo-Meal.jpg"
10,"traditional","10pc Bone In Wings Combo","10 of our Classic Bone-in wings! Always fresh never frozen. Choose from over 30 flavors! Served with your choice of side, beverage, and dip!","images/6pc-bone-in-wings-combo-meal.jpg","images-web/6pc-bone-in-wings-combo-meal.jpg","https://www.atlwingspot.com/wp-content/uploads/2025/03/6pc-Bone-In-Wings-Combo-Meal.jpg"
11,"traditional","4 Bone In Wings","4 of our Classic Bone-in wings! Always fresh never frozen. Choose from over 25 flavors! Served with celery and your choice of dip!","images/wings-e1746184196401.jpg","images-web/wings-e1746184196401.jpg","https://www.atlwingspot.com/wp-content/uploads/2024/10/Wings-e1746184196401.jpg"
12,"traditional","6 Pieces Wings","6 of our Classic Bone-in wings! Always fresh never frozen. Choose from over 25 flavors! Served with celery and your choice of dip!","images/wings-e1746184196401.jpg","images-web/wings-e1746184196401.jpg","https://www.atlwingspot.com/wp-content/uploads/2024/10/Wings-e1746184196401.jpg"
13,"traditional","10 Pieces Wings","10 of our Classic Bone-in wings! Always fresh never frozen. Choose from over 25 flavors! Served with celery and your choice of dip!","images/wings-e1746184196401.jpg","images-web/wings-e1746184196401.jpg","https://www.atlwingspot.com/wp-content/uploads/2024/10/Wings-e1746184196401.jpg"
14,"traditional","20 Pieces Wings","20 of our Classic Bone-in wings! Always fresh never frozen. Choose from over 25 flavors! Served with celery and your choice of dip!","images/wings-e1746184196401.jpg","images-web/wings-e1746184196401.jpg","https://www.atlwingspot.com/wp-content/uploads/2024/10/Wings-e1746184196401.jpg"
15,"traditional","50 Bone in Wings","50 of our Classic Bone-in wings! Always fresh never frozen. Choose from over 25 flavors! Served with celery and your choice of dip!","images/50-bone-in-wings.avif","images-web/50-bone-in-wings.webp","https://www.atlwingspot.com/wp-content/uploads/2024/10/50-Bone-in-Wings.avif"
16,"traditional","100 Bone in Wings","100 of our Classic Bone-in wings! Always fresh never frozen. Choose from over 25 flavors! Served with celery and your choice of dip!","images/50-bone-in-wings.avif","images-web/50-bone-in-wings.webp","https://www.atlwingspot.com/wp-content/uploads/2024/10/50-Bone-in-Wings.avif"
17,"boneless","6pc Boneless Wings Combo","Our fan favorite boneless wings, now in a COMBO! Fresh never frozen white meat chicken hand breaded and fried till golden brown. Served with your choice of sauce, side order, beverage, and dip!","images/6pc-boneless-wings-combo.jpg","images-web/6pc-boneless-wings-combo.jpg","https://www.atlwingspot.com/wp-content/uploads/2025/03/6pc-Boneless-Wings-Combo.jpg"
18,"boneless","10pc Boneless Wings Combo","Our fan favorite boneless wings, now in a COMBO! Fresh never frozen white meat chicken hand breaded and fried till golden brown. Served with your choice of sauce, side order, beverage, and dip!","images/6pc-boneless-wings-combo.jpg","images-web/6pc-boneless-wings-combo.jpg","https://www.atlwingspot.com/wp-content/uploads/2025/03/6pc-Boneless-Wings-Combo.jpg"
19,"boneless","4 Boneless Wings","Our fan favorite boneless wings! Fresh never frozen white meat chicken hand breaded and fried till golden brown. Choose your sauce and dip!","images/4-boneless-wings.jpg","images-web/4-boneless-wings.jpg","https://www.atlwingspot.com/wp-content/uploads/2025/03/4-Boneless-Wings.jpg"
20,"boneless","6 Boneless Wings","Our fan favorite boneless wings! Fresh never frozen white meat chicken hand breaded and fried till golden brown. Choose your sauce and dip!","images/4-boneless-wings.jpg","images-web/4-boneless-wings.jpg","https://www.atlwingspot.com/wp-content/uploads/2025/03/4-Boneless-Wings.jpg"
21,"boneless","10 Boneless Wings","Our fan favorite boneless wings! Fresh never frozen white meat chicken hand breaded and fried till golden brown. Choose your sauce and dip!","images/4-boneless-wings.jpg","images-web/4-boneless-wings.jpg","https://www.atlwingspot.com/wp-content/uploads/2025/03/4-Boneless-Wings.jpg"
22,"boneless","20 Boneless Wings","Our fan favorite boneless wings! Fresh never frozen white meat chicken hand breaded and fried till golden brown. Choose your sauce and dip!","images/4-boneless-wings.jpg","images-web/4-boneless-wings.jpg","https://www.atlwingspot.com/wp-content/uploads/2025/03/4-Boneless-Wings.jpg"
23,"boneless","50 Boneless Wings","Our fan favorite boneless wings! Fresh never frozen white meat chicken hand breaded and fried till golden brown. Choose your sauce and dip!","images/50-boneless-wings.jpg","images-web/50-boneless-wings.jpg","https://www.atlwingspot.com/wp-content/uploads/2024/10/50-Boneless-Wings.jpg"
24,"boneless","100 Boneless Wings","Our fan favorite boneless wings! Fresh never frozen white meat chicken hand breaded and fried till golden brown. Choose your sauce and dip!","images/50-boneless-wings.jpg","images-web/50-boneless-wings.jpg","https://www.atlwingspot.com/wp-content/uploads/2024/10/50-Boneless-Wings.jpg"
25,"tenders","3 Saucy Tenders","3 of our hand breaded Jumbo Tenders! Choose your favorite sauce and have them sauced or sauce on the side!","images/3-jumbo-tenders.jpg","images-web/3-jumbo-tenders.jpg","https://www.atlwingspot.com/wp-content/uploads/2024/10/3-Jumbo-Tenders.jpg"
26,"tenders","5 Saucy Tenders","5 of our hand breaded Jumbo Tenders! Choose your favorite sauce and have them sauced or sauce on the side!","images/5-jumbo-tenders.jpg","images-web/5-jumbo-tenders.jpg","https://www.atlwingspot.com/wp-content/uploads/2024/10/5-Jumbo-Tenders.jpg"
27,"tenders","10 Saucy Tenders","10 of our hand breaded Jumbo Tenders! Choose your favorite sauces and have them sauced or sauce on the side!","images/10-jumbo-tenders.avif","images-web/10-jumbo-tenders.webp","https://www.atlwingspot.com/wp-content/uploads/2024/10/10-Jumbo-Tenders.avif"
28,"tenders","20 Saucy Tenders","20 of our hand breaded Jumbo Tenders! Choose your favorite sauces and have them sauced or sauce on the side!","images/20-jumbo-tenders.avif","images-web/20-jumbo-tenders.webp","https://www.atlwingspot.com/wp-content/uploads/2024/10/20-Jumbo-Tenders.avif"
